%% Title: Database for predicting chess outcomes

@relation chess

@attribute material       REAL
@attribute attack-value   REAL
@attribute mobility       REAL
@attribute space          REAL
@attribute class          {1-0, 0-1, 1/2-1/2, *}

@data
%%
%% 2767 instances
%%
33,9,47,14,1-0
34,7,39,11,1-0
35,8,45,12,1-0
37,10,46,16,0-1
34,11,47,16,1/2-1/2
23,7,36,7,1-0
38,3,43,8,1/2-1/2
31,6,36,7,1-0
36,4,35,5,1/2-1/2
29,4,38,8,1/2-1/2
35,6,35,2,1-0
34,2,32,7,1/2-1/2
36,8,29,4,1/2-1/2
36,8,47,9,0-1
37,7,41,9,0-1
35,6,42,9,1-0
34,5,48,12,1/2-1/2
32,5,38,8,1-0
39,10,36,10,0-1
32,6,46,12,1-0
37,5,43,7,1-0
34,7,48,12,1/2-1/2
37,20,56,23,1/2-1/2
35,6,41,8,1-0
34,13,51,21,1/2-1/2
32,5,41,10,1-0
38,3,30,1,1-0
32,5,41,8,0-1
34,10,46,12,1-0
39,3,43,10,1/2-1/2
25,17,36,6,1/2-1/2
31,5,32,4,1-0
33,4,35,3,1/2-1/2
31,5,33,6,0-1
34,9,35,9,0-1
34,4,42,9,1/2-1/2
35,7,34,8,1/2-1/2
34,12,43,16,1/2-1/2
33,4,41,5,1-0
35,3,48,11,1-0
35,14,45,12,1/2-1/2
37,6,42,10,0-1
38,6,46,7,1-0
36,8,33,5,1-0
32,6,42,10,1/2-1/2
36,7,40,4,0-1
29,9,36,9,1/2-1/2
35,12,30,5,1/2-1/2
32,8,40,10,0-1
32,5,40,15,0-1
33,10,38,1,0-1
34,13,38,13,1-0
32,6,36,7,0-1
38,4,39,7,0-1
35,9,46,14,1-0
23,6,30,2,1-0
28,20,40,19,1/2-1/2
38,5,35,5,1/2-1/2
35,7,34,8,1-0
37,10,46,12,1-0
32,9,46,10,0-1
35,6,33,6,0-1
34,2,38,9,1-0
31,5,38,9,0-1
34,18,51,24,0-1
35,6,37,6,1-0
25,4,31,6,1/2-1/2
29,7,46,5,1/2-1/2
34,14,45,14,1-0
33,12,31,6,0-1
31,13,45,17,0-1
34,10,47,13,1-0
35,9,45,14,1-0
34,6,37,9,1-0
32,7,44,6,1-0
32,11,51,21,1-0
35,5,38,6,1-0
35,9,46,11,1-0
34,6,43,13,1-0
38,5,50,13,1/2-1/2
34,7,41,7,1-0
29,8,33,6,1/2-1/2
38,4,50,12,1/2-1/2
32,12,37,12,1-0
32,5,41,9,0-1
34,12,50,17,0-1
35,13,46,15,0-1
31,2,36,5,1/2-1/2
32,9,47,11,1-0
33,8,36,4,1/2-1/2
35,8,45,10,1-0
32,6,32,3,0-1
39,5,39,9,1/2-1/2
35,9,35,8,0-1
36,5,35,5,1/2-1/2
37,5,41,6,1-0
31,4,38,12,0-1
31,6,35,8,0-1
37,5,46,10,0-1
38,10,33,9,0-1
34,3,35,6,1/2-1/2
32,4,33,3,0-1
26,6,44,10,1-0
38,2,27,2,0-1
35,5,43,7,1-0
38,5,44,9,1-0
38,17,49,19,0-1
35,8,38,4,0-1
31,10,52,19,0-1
34,4,42,8,0-1
38,7,47,11,0-1
33,5,39,2,1/2-1/2
34,3,27,3,1-0
38,12,47,14,1-0
35,8,40,11,1/2-1/2
39,5,32,3,1-0
35,9,42,10,1/2-1/2
39,2,41,4,0-1
35,6,40,6,1/2-1/2
18,3,19,2,1/2-1/2
35,6,36,5,1-0
38,6,43,13,1-0
35,5,47,15,1/2-1/2
31,9,36,11,0-1
37,14,32,16,1-0
34,5,36,8,1-0
34,3,38,4,1-0
35,7,41,13,1-0
38,3,33,6,1-0
35,2,37,4,1/2-1/2
29,9,38,11,1-0
23,8,35,5,1/2-1/2
30,4,37,3,1/2-1/2
31,15,33,14,1/2-1/2
38,5,33,5,1/2-1/2
39,5,43,9,0-1
37,15,55,23,1-0
38,10,40,7,1-0
34,12,48,18,1/2-1/2
34,5,40,14,1-0
35,5,31,5,0-1
35,5,43,10,1-0
38,3,35,8,1-0
38,8,59,19,0-1
38,4,29,3,0-1
32,9,40,8,1-0
34,18,61,28,1-0
25,5,27,2,1/2-1/2
35,3,40,8,0-1
34,3,41,7,0-1
37,10,47,21,1-0
38,4,37,5,1/2-1/2
26,6,32,4,1-0
29,7,36,10,0-1
27,4,27,7,1-0
32,4,36,5,1-0
35,7,40,10,1/2-1/2
31,8,38,8,1/2-1/2
38,5,43,12,1/2-1/2
38,5,40,6,1/2-1/2
35,7,42,14,1-0
22,3,22,2,0-1
37,6,39,10,1-0
23,5,31,3,0-1
37,10,47,19,1/2-1/2
36,5,41,8,1/2-1/2
33,4,32,1,1-0
35,8,40,10,1/2-1/2
